ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Subbranch,Subsubbranch,EarlyTimeBP,LateTimeBP,AvTimeBP,Source
nepa1254,Nepali,,27.705,85.33,nepa1254,,Indo-Iranian,Indic,Northern Zone,0,0,0,matthews_course_1984;paudyal_syntax_2009
dame1241,Dameli,,35.299,71.6806,dame1241,,Indo-Iranian,Indic,Northwestern Zone,0,0,0,perder_grammatical_2013
sind1272,Sindhi,,26,69,sind1272,,Indo-Iranian,Indic,Northwestern Zone,0,0,0,khubchandani_sindhi_2003
kash1277,Kashmiri,,34.166825,74.330455,kash1277,,Indo-Iranian,Indic,Northwestern Zone,0,0,0,wali_kashmiri_1996
oldm1244,Old Marathi,,15.43,74.02,oldm1244,,Indo-Iranian,Indic,Southern Zone,1015,715,865,master_grammar_1964
mara1378,Marathi,,17.9344,76.6665,mara1378,,Indo-Iranian,Indic,Southern Zone,0,0,0,bloch_formation_1970;dhongde_marathi_2009
goan1235,Goan Konkani,,15.27,74.21,goan1235,,Indo-Iranian,Indic,Southern Zone,0,0,0,nadkarni_bilingualism_1975;miranda_konkani_2007
aves1237,Avestan,,31.541,53.633,aves1237,,Indo-Iranian,Iranian,,3215,2815,3015,hoffmann_avestische_1996;sims-williams_avestan_1987
wakh1245,Wakhi,,37.1768,73.9777,wakh1245,,Indo-Iranian,Iranian,,0,0,0,bashir_wakhi_2009
part1239,Parthian,,34.81,48.51,part1239,,Indo-Iranian,Iranian,Central Iranian,2260,1790,2025,sundermann_parthisch_1989
khwa1238,Khwarezmian,,36.24,58.79,khwa1238,,Indo-Iranian,Iranian,Central Iranian,2515,815,1665,durkin-meisterernst_khwarezmian_2009
sogd1245,Sogdian,,40.29,70.48,sogd1245,,Indo-Iranian,Iranian,Central Iranian,2115,1015,1565,gershevitch_grammar_1954;yakubovich_syntactic_2005;yoshida_sogdian_2009
nort2641,Northern Kurdish,,35.6539,45.8077,nort2641,,Indo-Iranian,Iranian,Central Iranian,0,0,0,blau_manuel_2001;thackston_kurmanji_nodate
diml1238,Dimli,,38.6147,39.6388,diml1238,,Indo-Iranian,Iranian,Central Iranian,0,0,0,paul_zazaki_2009
gila1241,Gilaki,,37.1344,49.8359,gila1241,,Indo-Iranian,Iranian,Central Iranian,0,0,0,rastorgueva_gilaki_2012
osse1243,Ossetic,,41.7882,43.2674,osse1243,,Indo-Iranian,Iranian,Central Iranian,0,0,0,cheung_ossetic_2008;thordarson_ossetic_2009
balo1260,Balochi,,26,64,balo1260,,Indo-Iranian,Iranian,Central Iranian,0,0,0,jahani_balochi_2009
taly1247,Talysh,,38.4552,48.6349,taly1247,,Indo-Iranian,Iranian,Central Iranian,0,0,0,paul_comparative_2011
para1299,Parachi,,36.0432,70.8805,para1299,,Indo-Iranian,Iranian,Ormuri-Parachi,0,0,0,kieffer_parachi_2009
nucl1276,Pashto,,34,71.33,nucl1276,,Indo-Iranian,Iranian,Pashto,0,0,0,david_descriptive_2014;morgenstierne_new_2003
khot1251,Khotanese,,41.95,83.48,khot1251,,Indo-Iranian,Iranian,Sakha,2115,1015,1565,emmerick_khotanese_2009
oldp1254,Old Persian,,29.56,52.53,oldp1254,,Indo-Iranian,Iranian,Southwestern Iranian,2615,2315,2465,skjaervo_avestan_2007;skjaervo_introduction_2016
pahl1241,Middle Persian,,28.6593,55.1586,pahl1241,,Indo-Iranian,Iranian,Southwestern Iranian,2215,1115,1665,durkin-meisterernst_grammatik_2014
west2369,Farsi,,28.6593,55.1586,west2369,,Indo-Iranian,Iranian,Southwestern Iranian,0,0,0,lazard_grammar_1992;windfuhr_persian_2009
taji1245,Tajik,,38.8213,68.5549,taji1245,,Indo-Iranian,Iranian,Southwestern Iranian,0,0,0,perry_tajik_2005;windfuhr_persian_2009
sout2645,Angali (SW Fars),,29.746,52.267,sout2645,,Indo-Iranian,Iranian,Southwestern Iranian,0,0,0,angali_angali_2004
jude1256,Judeo-Tat,,42.068306,48.264749,jude1256,,Indo-Iranian,Iranian,Southwestern Iranian,0,0,0,authier_grammaire_2012
waig1243,Waigali,,35.325,71.118,waig1243,,Indo-Iranian,Nuristani,,0,0,0,degener_sprache_1998
umbr1253,Umbrian,,43.35,12.572,umbr1253,,Italic,Sabellic,,2715,1915,2315,buck_grammar_1904
osca1245,Oscan,,41.486,14.47,osca1245,,Italic,Sabellic,,2515,1915,2215,buck_grammar_1904
lati1261,Classical Latin,,41.9026,12.4502,lati1261,,Italic,Latino-Faliscan,,2090,1715,1903,panhuis_latin_2006
oldp1253,Old Occitan,,43.47,3.39,oldp1253,,Italic,Latino-Faliscan,Western Romance,1325,615,970,anglade_grammaire_1921;paden_introduction_1998
olds1249,Old Spanish,,39.4414,-1.5,olds1249,,Italic,Latino-Faliscan,Western Romance,1115,515,815,bouzouita_clitic_2006;fischer_revisiting_2014;penny_history_2002
ital1282,Italian,,43.0464,12.6489,ital1282,,Italic,Latino-Faliscan,Western Romance,0,0,0,maiden_reference_2007
vene1258,Venetian,,45.503581,12.214167,vene1258,,Italic,Latino-Faliscan,Western Romance,0,0,0,belloni_grammatica_2006
stan1290,French,,48,2,stan1290,,Italic,Latino-Faliscan,Western Romance,0,0,0,batchelor_reference_2011
occi1239,Occitan,,44.1,4.5,occi1239,,Italic,Latino-Faliscan,Western Romance,0,0,0,
stan1288,Spanish,,40.4414,-1.11788,stan1288,,Italic,Latino-Faliscan,Western Romance,0,0,0,kattan-ibarra_spanish_2008
port1283,Portuguese,,39.91,-8.1,port1283,,Italic,Latino-Faliscan,Western Romance,0,0,0,hutchinson_portuguese_2003
roma1327,Romanian,,46.39,24.23,roma1327,,Italic,Latino-Faliscan,Eastern Romance,0,0,0,cojocaru_romanian_2004
camp1261,Campidanese Sardinian,,39.0566,9.03935,camp1261,,Italic,Latino-Faliscan,Southern Romance,0,0,0,jones_sardinian_1993;madrigale_is_2009
tokh1242,Tocharian A,,42.3,86.34,tokh1242,,Tocharian,,,1415,1115,1265,krause_tocharisches_1960;hackstein_evolution_2012
tokh1243,Tocharian B,,41.09,80.45,tokh1243,,Tocharian,,,1415,1115,1265,krause_tocharisches_1960;hackstein_evolution_2012
